qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,Column2,Column3,Column1
9044,1067,840,117,18,9,1:25.511,1:24.601,1:24.305,84305,1.017340831,1:24.305
9045,1067,852,213,22,10,1:25.409,1:24.054,1:24.368,84054,1.014311918,1:24.054
9046,1067,20,117,5,11,1:25.787,1:24.795,,84795,1.023253849,1:24.795
9047,1067,839,214,31,12,1:25.422,1:24.842,,84842,1.023821017,1:24.842
9048,1067,847,3,63,13,1:25.417,1:25.007,,85007,1.025812135,1:25.007
9049,1067,854,210,47,14,1:25.555,1:25.200,,85200,1.02814114,1:25.200
9050,1067,832,6,55,15,1:25.177,,,85177,1.02786359,1:25.177
9051,1067,817,1,3,16,1:25.881,,,85881,1.036359029,1:25.881
9052,1067,849,3,6,17,1:26.086,,,86086,1.038832843,1:26.086
9053,1067,841,51,99,18,1:26.430,,,86430,1.042984023,1:26.430
9054,1067,8,51,7,19,1:27.525,,,87525,1.056197809,1:27.525
9055,1067,853,210,9,20,1:28.449,,,88449,1.067348072,1:28.449
9014,1066,846,1,4,1,1:47.238,1:45.827,1:41.993,101993,1,1:41.993
9015,1066,832,6,55,2,1:47.924,1:46.521,1:42.510,102510,1.005068975,1:42.510
9016,1066,847,3,63,3,1:48.303,1:46.435,1:42.983,102983,1.009706548,1:42.983
9017,1066,1,131,44,4,1:45.992,1:45.129,1:44.050,104050,1.020168051,1:44.050
9018,1066,817,1,3,5,1:48.345,1:46.361,1:44.156,104156,1.021207338,1:44.156
9019,1066,4,214,14,6,1:47.877,1:45.514,1:44.204,104204,1.021677958,1:44.204
9020,1066,822,131,77,7,1:46.396,1:45.306,1:44.710,104710,1.026639083,1:44.710
9021,1066,840,117,18,8,1:48.322,1:46.360,1:44.956,104956,1.029051013,1:44.956
9022,1066,815,9,11,9,1:46.455,1:45.834,1:45.337,105337,1.032786564,1:45.337
9023,1066,839,214,31,10,1:48.099,1:46.070,1:45.865,105865,1.03796339,1:45.865
9024,1066,20,117,5,11,1:47.205,1:46.573,,106573,1.044905043,1:46.573
9025,1066,842,213,10,12,1:47.828,1:46.641,,106641,1.045571755,1:46.641
9026,1066,852,213,22,13,1:48.854,1:46.751,,106751,1.04665026,1:46.751
9027,1066,849,3,6,14,1:48.252,,,108252,1.061366957,1:48.252
9028,1066,844,6,16,15,1:48.470,,,108470,1.063504358,1:48.470
9029,1066,8,51,7,16,1:49.586,,,109586,1.074446286,1:49.586
9030,1066,854,210,47,17,1:49.830,,,109830,1.076838607,1:49.830
9031,1066,841,51,99,18,1:51.023,,,111023,1.088535488,1:51.023
9032,1066,853,210,9,19,1:53.764,,,113764,1.115409881,1:53.764
8994,1065,822,131,77,1,1:20.685,1:20.032,1:19.555,79555,1,1:19.555
8995,1065,1,131,44,2,1:20.543,1:19.936,1:19.651,79651,1.001206712,1:19.651
8996,1065,830,9,33,3,1:21.035,1:20.229,1:19.966,79966,1.005166237,1:19.966
8997,1065,846,1,4,4,1:20.916,1:20.059,1:19.989,79989,1.005455345,1:19.989
8998,1065,817,1,3,5,1:21.292,1:20.435,1:19.995,79995,1.005530765,1:19.995
8999,1065,842,213,10,6,1:21.440,1:20.556,1:20.260,80260,1.008861794,1:20.260
9000,1065,832,6,55,7,1:21.118,1:20.750,1:20.462,80462,1.011400918,1:20.462
9001,1065,844,6,16,8,1:21.219,1:20.767,1:20.510,80510,1.012004274,1:20.510
9002,1065,815,9,11,9,1:21.308,1:20.882,1:20.611,80611,1.013273836,1:20.611
9003,1065,841,51,99,10,1:21.197,1:20.726,1:20.808,80726,1.014719377,1:20.726
9004,1065,20,117,5,11,1:21.394,1:20.913,,80913,1.017069952,1:20.913
9005,1065,840,117,18,12,1:21.415,1:21.020,,81020,1.018414933,1:21.020
9006,1065,4,214,14,13,1:21.487,1:21.069,,81069,1.019030859,1:21.069
9007,1065,839,214,31,14,1:21.500,1:21.103,,81103,1.019458236,1:21.103
9008,1065,847,3,63,15,1:21.890,1:21.392,,81392,1.023090943,1:21.392
9009,1065,849,3,6,16,1:21.925,,,81925,1.029790711,1:21.925
9010,1065,852,213,22,17,1:21.973,,,81973,1.030394067,1:21.973
9011,1065,854,210,47,18,1:22.248,,,82248,1.033850795,1:22.248
9012,1065,9,51,88,19,1:22.530,,,82530,1.037395513,1:22.530
9013,1065,853,210,9,20,1:22.716,,,82716,1.039733518,1:22.716
8974,1064,830,9,33,1,1:10.036,1:09.071,1:08.885,68885,1,1:08.885
8975,1064,1,131,44,2,1:10.114,1:09.726,1:08.923,68923,1.000551644,1:08.923
8976,1064,822,131,77,3,1:10.219,1:09.769,1:09.222,69222,1.004892212,1:09.222
8977,1064,842,213,10,4,1:10.274,1:09.541,1:09.478,69478,1.00860855,1:09.478
8978,1064,844,6,16,5,1:09.829,1:09.437,1:09.527,69437,1.008013356,1:09.437
8979,1064,832,6,55,6,1:10.022,1:09.870,1:09.537,69537,1.00946505,1:09.537
8980,1064,841,51,99,7,1:10.050,1:10.033,1:09.590,69590,1.010234449,1:09.590
8981,1064,839,214,31,8,1:10.179,1:09.919,1:09.933,69919,1.015010525,1:09.919
8982,1064,4,214,14,9,1:10.435,1:10.020,1:09.956,69956,1.015547652,1:09.956
8983,1064,817,1,3,10,1:10.255,1:09.865,1:10.166,69865,1.01422661,1:09.865
8984,1064,847,3,63,11,1:10.382,1:10.332,,70332,1.021006025,1:10.332
8985,1064,840,117,18,12,1:10.438,1:10.367,,70367,1.021514118,1:10.367
8986,1064,846,1,4,13,1:10.489,1:10.406,,70406,1.022080279,1:10.406
8987,1064,849,3,6,14,1:10.093,1:11.161,,70093,1.017536474,1:10.093
8988,1064,852,213,22,15,1:10.462,1:11.314,,70462,1.022893228,1:10.462
8989,1064,815,9,11,16,1:10.530,,,70530,1.02388038,1:10.530
8990,1064,20,117,5,17,1:10.731,,,70731,1.026798287,1:10.731
8991,1064,9,51,88,18,1:11.301,,,71301,1.035072948,1:11.301
8992,1064,854,210,47,19,1:11.387,,,71387,1.036321405,1:11.387
8993,1064,853,210,9,20,1:11.875,,,71875,1.043405676,1:11.875
8954,1063,830,9,33,1,1:58.717,1:56.559,1:59.765,116559,1.004602456,1:56.559
8955,1063,847,3,63,2,1:59.864,1:56.950,2:00.086,116950,1.00797242,1:56.950
8956,1063,1,131,44,3,1:59.218,1:56.229,2:00.099,116229,1.001758242,1:56.229
8957,1063,817,1,3,4,2:01.583,1:57.127,2:00.864,117127,1.009497953,1:57.127
8958,1063,20,117,5,5,2:00.175,1:56.814,2:00.935,116814,1.006800259,1:56.814
8959,1063,842,213,10,6,2:00.387,1:56.440,2:01.164,116440,1.003576815,1:56.440
8960,1063,815,9,11,7,1:59.334,1:56.886,2:02.112,116886,1.007420814,1:56.886
8961,1063,822,131,77,8,1:59.870,1:56.295,2:02.502,116295,1.002327085,1:56.295
8962,1063,839,214,31,9,2:01.824,1:57.354,2:03.513,117354,1.011454428,1:57.354
8963,1063,846,1,4,10,1:58.301,1:56.025,,116025,1,1:56.025
8964,1063,844,6,16,11,2:00.728,1:57.721,,117721,1.014617539,1:57.721
8965,1063,849,3,6,12,2:00.966,1:58.056,,118056,1.017504848,1:58.056
8966,1063,832,6,55,13,2:01.184,1:58.137,,118137,1.018202973,1:58.137
8967,1063,4,214,14,14,2:01.653,1:58.205,,118205,1.018789054,1:58.205
8968,1063,840,117,18,15,2:01.597,1:58.231,,118231,1.019013144,1:58.231
8969,1063,841,51,99,16,2:02.306,,,122306,1.054134885,2:02.306
8970,1063,852,213,22,17,2:02.413,,,122413,1.0550571,2:02.413
8971,1063,854,210,47,18,2:03.973,,,123973,1.068502478,2:03.973
8972,1063,8,51,7,19,2:04.452,,,124452,1.072630899,2:04.452
8973,1063,853,210,9,20,2:04.939,,,124939,1.07682827,2:04.939
8934,1062,1,131,44,1,1:16.424,1:16.553,1:15.419,75419,1,1:15.419
8935,1062,822,131,77,2,1:16.569,1:16.702,1:15.734,75734,1.004176666,1:15.734
8936,1062,830,9,33,3,1:16.214,1:15.650,1:15.840,75650,1.003062889,1:15.650
8937,1062,815,9,11,4,1:17.233,1:16.443,1:16.421,76421,1.013285777,1:16.421
8938,1062,842,213,10,5,1:16.874,1:16.394,1:16.483,76394,1.012927777,1:16.394
8939,1062,846,1,4,6,1:17.081,1:16.385,1:16.489,76385,1.012808443,1:16.385
8940,1062,844,6,16,7,1:17.084,1:16.574,1:16.496,76496,1.014280221,1:16.496
8941,1062,839,214,31,8,1:17.367,1:16.766,1:16.653,76653,1.016361925,1:16.653
8942,1062,4,214,14,9,1:17.123,1:16.541,1:16.715,76541,1.014876888,1:16.541
8943,1062,20,117,5,10,1:17.105,1:16.794,1:16.750,76750,1.017648073,1:16.750
8944,1062,817,1,3,11,1:17.664,1:16.871,,76871,1.019252443,1:16.871
8945,1062,840,117,18,12,1:17.038,1:16.893,,76893,1.019544147,1:16.893
8946,1062,8,51,7,13,1:17.553,1:17.564,,77553,1.028295257,1:17.553
8947,1062,841,51,99,14,1:17.776,1:17.583,,77583,1.028693035,1:17.583
8948,1062,832,6,55,15,1:16.649,,,76649,1.016308888,1:16.649
8949,1062,852,213,22,16,1:17.919,,,77919,1.033148146,1:17.919
8950,1062,847,3,63,17,1:17.944,,,77944,1.033479627,1:17.944
8951,1062,849,3,6,18,1:18.036,,,78036,1.034699479,1:18.036
8952,1062,853,210,9,19,1:18.922,,,78922,1.046447182,1:18.922
8914,1061,1,131,44,1,1:26.786,1:26.023,1:26.134,86023,1,1:26.023
8915,1061,830,9,33,2,1:26.751,1:26.315,1:26.209,86209,1.002162212,1:26.209
8916,1061,822,131,77,3,1:27.487,1:26.764,1:26.328,86328,1.003545563,1:26.328
8917,1061,844,6,16,4,1:27.051,1:26.919,1:26.828,86828,1.009357962,1:26.828
8918,1061,815,9,11,5,1:27.121,1:27.073,1:26.844,86844,1.009543959,1:26.844
8919,1061,846,1,4,6,1:27.444,1:27.220,1:26.897,86897,1.010160073,1:26.897
8920,1061,817,1,3,7,1:27.323,1:27.125,1:26.899,86899,1.010183323,1:26.899
8921,1061,847,3,63,8,1:27.671,1:27.080,1:26.971,86971,1.011020309,1:26.971
8922,1061,832,6,55,9,1:27.337,1:26.848,1:27.007,86848,1.009590458,1:26.848
8923,1061,20,117,5,10,1:27.493,1:27.103,1:27.179,87103,1.012554782,1:27.103
8924,1061,4,214,14,11,1:27.580,1:27.245,,87245,1.014205503,1:27.245
8925,1061,842,213,10,12,1:27.600,1:27.273,,87273,1.014530998,1:27.273
8926,1061,839,214,31,13,1:27.415,1:27.340,,87340,1.015309859,1:27.340
8927,1061,841,51,99,14,1:27.595,1:27.617,,87595,1.018274182,1:27.595
8928,1061,840,117,18,15,1:28.017,1:27.665,,87665,1.019087918,1:27.665
8929,1061,852,213,22,16,1:28.043,,,88043,1.023482092,1:28.043
8930,1061,8,51,7,17,1:28.062,,,88062,1.023702963,1:28.062
8931,1061,849,3,6,18,1:28.254,,,88254,1.025934924,1:28.254
8932,1061,854,210,47,19,1:28.738,,,88738,1.031561327,1:28.738
8933,1061,853,210,9,20,1:29.051,,,89051,1.035199888,1:29.051
8894,1060,830,9,33,1,1:04.249,1:03.927,1:03.720,63720,1,1:03.720
8895,1060,846,1,4,2,1:04.345,1:04.415,1:03.768,63768,1.000753296,1:03.768
8896,1060,815,9,11,3,1:04.833,1:04.483,1:03.990,63990,1.004237288,1:03.990
8897,1060,1,131,44,4,1:04.506,1:04.258,1:04.014,64014,1.004613936,1:04.014
8898,1060,822,131,77,5,1:04.563,1:04.376,1:04.049,64049,1.005163214,1:04.049
8899,1060,842,213,10,6,1:04.841,1:04.412,1:04.107,64107,1.006073446,1:04.107
8900,1060,852,213,22,7,1:04.967,1:04.518,1:04.273,64273,1.008678594,1:04.273
8901,1060,20,117,5,8,1:04.846,1:04.493,1:04.570,64493,1.012131199,1:04.493
8902,1060,847,3,63,9,1:04.907,1:04.553,1:04.591,64553,1.013072819,1:04.553
8903,1060,840,117,18,10,1:04.927,1:04.547,1:04.618,64547,1.012978657,1:04.547
8904,1060,832,6,55,11,1:04.596,1:04.559,,64559,1.013166981,1:04.559
8905,1060,844,6,16,12,1:04.906,1:04.600,,64600,1.013810421,1:04.600
8906,1060,817,1,3,13,1:04.977,1:04.719,,64719,1.015677966,1:04.719
8907,1060,4,214,14,14,1:04.472,1:04.856,,64472,1.011801632,1:04.472
8908,1060,841,51,99,15,1:04.782,1:05.083,,64782,1.016666667,1:04.782
8909,1060,8,51,7,16,1:05.009,,,65009,1.020229127,1:05.009
8910,1060,839,214,31,17,1:05.051,,,65051,1.020888261,1:05.051
8911,1060,849,3,6,18,1:05.195,,,65195,1.023148148,1:05.195
8912,1060,854,210,47,19,1:05.427,,,65427,1.026789077,1:05.427
8913,1060,853,210,9,20,1:05.951,,,65951,1.035012555,1:05.951
8854,1059,830,9,33,1,1:31.001,1:31.080,1:29.990,89990,1,1:29.990
8855,1059,1,131,44,2,1:31.237,1:30.788,1:30.248,90248,1.002866985,1:30.248
8856,1059,822,131,77,3,1:31.669,1:30.735,1:30.376,90376,1.004289365,1:30.376
8857,1059,815,9,11,4,1:31.560,1:30.971,1:30.445,90445,1.005056117,1:30.445
8858,1059,832,6,55,5,1:32.079,1:31.146,1:30.840,90840,1.009445494,1:30.840
8859,1059,842,213,10,6,1:31.898,1:31.353,1:30.868,90868,1.00975664,1:30.868
8860,1059,844,6,16,7,1:32.209,1:31.567,1:30.987,90987,1.011079009,1:30.987
8861,1059,846,1,4,8,1:31.733,1:31.542,1:31.252,91252,1.01402378,1:31.252
8862,1059,4,214,14,9,1:32.158,1:31.549,1:31.340,91340,1.015001667,1:31.340
8863,1059,817,1,3,10,1:32.181,1:31.615,1:31.382,91382,1.015468385,1:31.382
8864,1059,839,214,31,11,1:32.139,1:31.736,,91736,1.019402156,1:31.736
8865,1059,20,117,5,12,1:32.132,1:31.767,,91767,1.019746639,1:31.767
8866,1059,841,51,99,13,1:32.722,1:31.813,,91813,1.020257806,1:31.813
8867,1059,847,3,63,14,1:33.060,1:32.065,,92065,1.023058118,1:32.065
8868,1059,854,210,47,15,1:32.942,,,92942,1.032803645,1:32.942
8869,1059,849,3,6,16,1:33.062,,,93062,1.034137126,1:33.062
8870,1059,8,51,7,17,1:33.354,,,93354,1.037381931,1:33.354
8871,1059,853,210,9,18,1:33.554,,,93554,1.0396044,1:33.554
8874,1058,830,9,33,1,1:04.489,1:04.433,1:03.841,63841,1,1:03.841
8875,1058,822,131,77,2,1:04.537,1:04.443,1:04.035,64035,1.0030388,1:04.035
8876,1058,1,131,44,3,1:04.672,1:04.512,1:04.067,64067,1.003540045,1:04.067
8877,1058,846,1,4,4,1:04.584,1:04.298,1:04.120,64120,1.004370232,1:04.120
8878,1058,815,9,11,5,1:04.638,1:04.197,1:04.168,64168,1.0051221,1:04.168
8879,1058,842,213,10,6,1:04.765,1:04.429,1:04.236,64236,1.006187246,1:04.236
8880,1058,844,6,16,7,1:04.745,1:04.646,1:04.472,64472,1.00988393,1:04.472
8881,1058,852,213,22,8,1:04.608,1:04.631,1:04.514,64514,1.010541815,1:04.514
8882,1058,4,214,14,9,1:04.971,1:04.582,1:04.574,64574,1.01148165,1:04.574
8883,1058,840,117,18,10,1:04.821,1:04.663,1:04.708,64663,1.012875738,1:04.663
8884,1058,847,3,63,11,1:05.033,1:04.671,,64671,1.013001049,1:04.671
8885,1058,832,6,55,12,1:04.859,1:04.800,,64800,1.015021695,1:04.800
8886,1058,817,1,3,13,1:05.142,1:04.808,,64808,1.015147006,1:04.808
8887,1058,20,117,5,14,1:05.051,1:04.875,,64875,1.016196488,1:04.875
8888,1058,841,51,99,15,1:05.092,1:04.913,,64913,1.016791717,1:04.913
8889,1058,849,3,6,16,1:05.175,,,65175,1.020895663,1:05.175
8890,1058,839,214,31,17,1:05.217,,,65217,1.021553547,1:05.217
8891,1058,8,51,7,18,1:05.429,,,65429,1.024874297,1:05.429
8892,1058,854,210,47,19,1:06.041,,,66041,1.034460613,1:06.041
8893,1058,853,210,9,20,1:06.192,,,66192,1.036825864,1:06.192
8834,1057,844,6,16,1,1:42.241,1:41.659,1:41.218,101218,1,1:41.218
8835,1057,1,131,44,2,1:41.545,1:41.634,1:41.450,101450,1.002292082,1:41.450
8836,1057,830,9,33,3,1:41.760,1:41.625,1:41.563,101563,1.003408485,1:41.563
8837,1057,842,213,10,4,1:42.288,1:41.932,1:41.565,101565,1.003428244,1:41.565
8838,1057,832,6,55,5,1:42.121,1:41.740,1:41.576,101576,1.00353692,1:41.576
8839,1057,846,1,4,6,1:42.167,1:41.813,1:41.747,101747,1.005226343,1:41.747
