circuitId,circuitRef,name,location,country,lat,lng,alt,dist(km),dist.mi,Turns,Sharp Turns,year,Chosen,dist_s_turns,dist_turns,turns_s_mile,turns_mile,Date Range,Type,url
4,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,109,4.655,2.905,14,8,2021,yes,0.363125,0.2075,2.753872633,4.819277108,2007-present,Race,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
5,istanbul,Istanbul Park,Istanbul,Turkey,40.9517,29.405,130,5.338,3.317,11,10,2020,yes,0.3317,0.301545455,3.014772385,3.316249623,2005-present,Race,http://en.wikipedia.org/wiki/Istanbul_Park
5,istanbul,Istanbul Park,Istanbul,Turkey,40.9517,29.405,130,5.338,3.317,11,10,2021,yes,0.3317,0.301545455,3.014772385,3.316249623,2005-present,Race,http://en.wikipedia.org/wiki/Istanbul_Park
6,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,7,3.337,2.074,13,9,2021,yes,0.230444444,0.159538462,4.339440694,6.268081003,2015-present,Street,http://en.wikipedia.org/wiki/Circuit_de_Monaco
6,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,7,3.337,2.074,13,9,2019,yes,0.230444444,0.159538462,4.339440694,6.268081003,2015-present,Street,http://en.wikipedia.org/wiki/Circuit_de_Monaco
6,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,7,3.337,2.074,13,9,2018,yes,0.230444444,0.159538462,4.339440694,6.268081003,2015-present,Street,http://en.wikipedia.org/wiki/Circuit_de_Monaco
7,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,13,4.361,2.71,10,5,2019,yes,0.542,0.271,1.84501845,3.6900369,2002-present,Race,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
7,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,13,4.361,2.71,10,5,2018,yes,0.542,0.271,1.84501845,3.6900369,2002-present,Race,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
9,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,153,5.891,3.661,17,9,2021,yes,0.406777778,0.215352941,2.458344715,4.643540016,2011-present,Race,http://en.wikipedia.org/wiki/Silverstone_Circuit
9,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,153,,3.661,17,9,2020,yes,0.406777778,0.215352941,2.458344715,4.643540016,2011-present,Race,http://en.wikipedia.org/wiki/Silverstone_Circuit
9,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,153,5.891,3.661,17,9,2020,yes,0.406777778,0.215352941,2.458344715,4.643540016,2011-present,Race,http://en.wikipedia.org/wiki/Silverstone_Circuit
9,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,153,5.891,3.661,17,9,2019,yes,0.406777778,0.215352941,2.458344715,4.643540016,2011-present,Race,http://en.wikipedia.org/wiki/Silverstone_Circuit
9,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,153,5.891,3.661,17,9,2018,yes,0.406777778,0.215352941,2.458344715,4.643540016,2011-present,Race,http://en.wikipedia.org/wiki/Silverstone_Circuit
10,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,103,4.574,2.842,12,9,2019,yes,0.315777778,0.236833333,3.166783955,4.222378607,2002-present,Race,http://en.wikipedia.org/wiki/Hockenheimring
10,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,103,4.574,2.842,12,9,2018,yes,0.315777778,0.236833333,3.166783955,4.222378607,2002-present,Race,http://en.wikipedia.org/wiki/Hockenheimring
11,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,264,4.381,2.722,14,9,2018,yes,0.302444444,0.194428571,3.306392359,5.143277002,2003-present,Race,http://en.wikipedia.org/wiki/Hungaroring
11,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,264,4.381,2.722,14,9,2019,yes,0.302444444,0.194428571,3.306392359,5.143277002,2003-present,Race,http://en.wikipedia.org/wiki/Hungaroring
11,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,264,4.381,2.722,14,9,2020,yes,0.302444444,0.194428571,3.306392359,5.143277002,2003-present,Race,http://en.wikipedia.org/wiki/Hungaroring
11,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,264,4.381,2.722,14,9,2021,yes,0.302444444,0.194428571,3.306392359,5.143277002,2003-present,Race,http://en.wikipedia.org/wiki/Hungaroring
13,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,401,7.004,4.352,14,11,2018,yes,0.395636364,0.310857143,2.527573529,3.216911765,2007-present,Race,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
13,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,401,7.004,4.352,14,11,2019,yes,0.395636364,0.310857143,2.527573529,3.216911765,2007-present,Race,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
13,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,401,7.004,4.352,14,11,2020,yes,0.395636364,0.310857143,2.527573529,3.216911765,2007-present,Race,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
13,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,401,7.004,4.352,14,11,2021,yes,0.395636364,0.310857143,2.527573529,3.216911765,2007-present,Race,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
14,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,162,5.793,3.6,8,6,2018,yes,0.6,0.45,1.666666667,2.222222222,2000-present,Race,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
14,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,162,5.793,3.6,8,6,2019,yes,0.6,0.45,1.666666667,2.222222222,2000-present,Race,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
14,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,162,5.793,3.6,8,6,2020,yes,0.6,0.45,1.666666667,2.222222222,2000-present,Race,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
14,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,162,5.793,3.6,8,6,2021,yes,0.6,0.45,1.666666667,2.222222222,2000-present,Race,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
15,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,18,5.063,3.146,17,16,2019,yes,0.196625,0.185058824,5.085823268,5.403687222,2008-present,Street,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
15,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,18,5.063,3.146,17,16,2018,yes,0.196625,0.185058824,5.085823268,5.403687222,2008-present,Street,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
17,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,5,5.451,3.388,12,10,2019,yes,0.3388,0.282333333,2.951593861,3.541912633,2004-present,Race,http://en.wikipedia.org/wiki/Shanghai_International_Circuit
17,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,5,5.451,3.388,12,10,2018,yes,0.3388,0.282333333,2.951593861,3.541912633,2004-present,Race,http://en.wikipedia.org/wiki/Shanghai_International_Circuit
18,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,785,4.309,2.677,11,7,2019,yes,0.382428571,0.243363636,2.614867389,4.109077325,1999-present,Race,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
18,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,785,4.309,2.677,11,7,2018,yes,0.382428571,0.243363636,2.614867389,4.109077325,1999-present,Race,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
18,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,785,4.309,2.677,11,7,2021,yes,0.382428571,0.243363636,2.614867389,4.109077325,1999-present,Race,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
20,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,578,5.148,3.199,14,12,2020,yes,0.266583333,0.2285,3.751172241,4.376367615,2002-present,Race,http://en.wikipedia.org/wiki/N%C3%BCrburgring
21,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,37,4.909,3.05,12,8,2021,yes,0.38125,0.254166667,2.62295082,3.93442623,2008-present,Race,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari
21,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,37,4.909,3.05,12,8,2020,yes,0.38125,0.254166667,2.62295082,3.93442623,2008-present,Race,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari
22,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,45,5.807,3.609,17,11,2019,yes,0.328090909,0.212294118,3.047935716,4.710446107,2003-present,Race,http://en.wikipedia.org/wiki/Suzuka_Circuit
22,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,45,5.807,3.609,17,11,2018,yes,0.328090909,0.212294118,3.047935716,4.710446107,2003-present,Race,http://en.wikipedia.org/wiki/Suzuka_Circuit
24,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,3,5.554,3.451,13,10,2021,yes,0.3451,0.265461538,2.897710808,3.767024051,2009-2021,Race,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
24,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,3,5.554,3.451,13,10,2020,yes,0.3451,0.265461538,2.897710808,3.767024051,2009-2021,Race,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
24,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,3,5.554,3.451,13,10,2019,yes,0.3451,0.265461538,2.897710808,3.767024051,2009-2021,Race,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
24,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,3,5.554,3.451,13,10,2018,yes,0.3451,0.265461538,2.897710808,3.767024051,2009-2021,Race,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
32,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,2227,4.304,2.674,15,10,2021,yes,0.2674,0.178266667,3.739715782,5.609573672,2015-present,Race,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
32,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,2227,4.304,2.674,15,10,2019,yes,0.2674,0.178266667,3.739715782,5.609573672,2015-present,Race,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
32,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,2227,4.304,2.674,15,10,2018,yes,0.2674,0.178266667,3.739715782,5.609573672,2015-present,Race,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
34,ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,432,5.842,3.63,14,11,2021,yes,0.33,0.259285714,3.03030303,3.856749311,2005-present,Race,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit
34,ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,432,5.842,3.63,14,11,2019,yes,0.33,0.259285714,3.03030303,3.856749311,2005-present,Race,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit
34,ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,432,5.842,3.63,14,11,2018,yes,0.33,0.259285714,3.03030303,3.856749311,2005-present,Race,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit
39,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,6,4.259,2.646,12,9,2021,yes,0.294,0.2205,3.401360544,4.535147392,2020-present,Race,http://en.wikipedia.org/wiki/Circuit_Zandvoort
69,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,161,5.514,3.426,18,12,2021,yes,0.2855,0.190333333,3.50262697,5.253940455,2012-present,Race,http://en.wikipedia.org/wiki/Circuit_of_the_Americas
69,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,161,5.514,3.426,18,12,2019,yes,0.2855,0.190333333,3.50262697,5.253940455,2012-present,Race,http://en.wikipedia.org/wiki/Circuit_of_the_Americas
69,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,161,5.514,3.426,18,12,2018,yes,0.2855,0.190333333,3.50262697,5.253940455,2012-present,Race,http://en.wikipedia.org/wiki/Circuit_of_the_Americas
70,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,678,4.318,2.683,8,7,2021,yes,0.383285714,0.335375,2.609019754,2.981736862,2016-present,Race,http://en.wikipedia.org/wiki/Red_Bull_Ring
70,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,678,4.318,2.683,8,7,2021,yes,0.383285714,0.335375,2.609019754,2.981736862,2016-present,Race,http://en.wikipedia.org/wiki/Red_Bull_Ring
70,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,678,4.318,2.683,8,7,2020,yes,0.383285714,0.335375,2.609019754,2.981736862,2016-present,Race,http://en.wikipedia.org/wiki/Red_Bull_Ring
70,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,678,4.318,2.683,8,7,2020,yes,0.383285714,0.335375,2.609019754,2.981736862,2016-present,Race,http://en.wikipedia.org/wiki/Red_Bull_Ring
70,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,678,4.318,2.683,8,7,2019,yes,0.383285714,0.335375,2.609019754,2.981736862,2016-present,Race,http://en.wikipedia.org/wiki/Red_Bull_Ring
70,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,678,4.318,2.683,8,7,2018,yes,0.383285714,0.335375,2.609019754,2.981736862,2016-present,Race,http://en.wikipedia.org/wiki/Red_Bull_Ring
71,sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,2,5.848,3.634,16,14,2021,yes,0.259571429,0.227125,3.852504128,4.40286186,2014-present,Race,http://en.wikipedia.org/wiki/Sochi_Autodrom
71,sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,2,5.848,3.634,16,14,2020,yes,0.259571429,0.227125,3.852504128,4.40286186,2014-present,Race,http://en.wikipedia.org/wiki/Sochi_Autodrom
71,sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,2,5.848,3.634,16,14,2019,yes,0.259571429,0.227125,3.852504128,4.40286186,2014-present,Race,http://en.wikipedia.org/wiki/Sochi_Autodrom
71,sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,2,5.848,3.634,16,14,2018,yes,0.259571429,0.227125,3.852504128,4.40286186,2014-present,Race,http://en.wikipedia.org/wiki/Sochi_Autodrom
73,BAK,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,-7,6.003,3.73,15,12,2021,yes,0.310833333,0.248666667,3.217158177,4.021447721,2017-present,Street,http://en.wikipedia.org/wiki/Baku_City_Circuit
73,BAK,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,-7,6.003,3.73,15,12,2019,yes,0.310833333,0.248666667,3.217158177,4.021447721,2017-present,Street,http://en.wikipedia.org/wiki/Baku_City_Circuit
73,BAK,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,-7,6.003,3.73,15,12,2018,yes,0.310833333,0.248666667,3.217158177,4.021447721,2017-present,Street,http://en.wikipedia.org/wiki/Baku_City_Circuit
75,portimao,Autódromo Internacional do Algarve,Portimao,Portugal,37.227,-8.6267,108,4.653,2.853,15,9,2021,yes,0.317,0.1902,3.154574132,5.257623554,2008-present,Race,http://en.wikipedia.org/wiki/Algarve_International_Circuit
75,portimao,Autódromo Internacional do Algarve,Portimao,Portugal,37.227,-8.6267,108,4.653,2.853,15,9,2020,yes,0.317,0.1902,3.154574132,5.257623554,2008-present,Race,http://en.wikipedia.org/wiki/Algarve_International_Circuit
76,mugello,Autodromo Internazionale del Mugello,Mugello,Italy,43.9975,11.3719,255,5.245,3.259,15,11,2020,yes,0.296272727,0.217266667,3.375268487,4.602638846,1974-present,Race,http://en.wikipedia.org/wiki/Mugello_Circuit
77,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044,15,6.174,3.836,18,9,2021,yes,0.426222222,0.213111111,2.346193952,4.692387904,2021-present,Street,http://en.wikipedia.org/wiki/Jeddah_Street_Circuit
78,losail,Losail International Circuit,Al Daayen,Qatar,25.49,51.4542,\N,5.38,3.343,15,10,2021,yes,0.3343,0.222866667,2.991325157,4.486987736,2004-present,Race,http://en.wikipedia.org/wiki/Losail_International_Circuit
